交易日期,股票代码,股票名称,是否交易,开盘价,最高价,最低价,收盘价,VWAP,成交额,流通市值,总市值,上市至今交易天数,财报季度,财报年份,归母净利润,归母净利润_ttm,归母净利润_ttm同比,归母净利润_单季,归母净利润_单季同比,归母净利润_单季环比,经营活动产生的现金流量净额,经营活动产生的现金流量净额_ttm,经营活动产生的现金流量净额_ttm同比,经营活动产生的现金流量净额_单季,经营活动产生的现金流量净额_单季同比,经营活动产生的现金流量净额_单季环比,净资产,涨跌幅_10,涨跌幅_20,bias_5,bias_10,bias_20,振幅_5,振幅_10,振幅_20,涨跌幅std_5,涨跌幅std_10,涨跌幅std_20,成交额std_5,成交额std_10,成交额std_20,K,D,J,DIF,DEA,MACD,市盈率倒数,市净率倒数,申万一级行业名称,申万二级行业名称,申万三级行业名称,涨跌幅,下周期每天涨跌幅
2006-12-29,sh600000,浦发银行,1,16.87,21.53,16.12,21.31,20.982717901095953,8562442127.0,28390531775.4,92802550273.1,1652.0,3.0,2006.0,2453538448.06,3167273414.4799995,0.36633558990917137,850004457.8999999,0.27090417809352085,-0.0965714900842567,-16391013360.07,-13539236425.499998,-1.6023265049213302,-7171165002.41,-40.173738058720964,-1.8080905085991326,17891227315.66,0.20736543909348426,0.28839177750906897,0.09450436569080689,0.14971675209063995,0.19735917966006578,0.22678062678062694,0.2694575471698113,0.3356079404466499,0.03154826251697286,0.03382150612267329,0.03100077233977185,104738019.06592393,107614733.98699243,91100887.34172691,84.03531805149252,77.19134527221637,97.72326361004482,1.7866202668067501,1.366192557874994,0.8408554178635121,0.0341291635322448,0.19278809971288038,,银行,银行,0.2661913250148549,"[0.007038948850305093, -0.029356943150046666, 0.0201632261161786, 0.07247058823529406, 0.03685827117156637, -0.017350825222175237, -0.02670111972437539, 0.0597345132743361, -0.007098121085594933, -0.03532380151387715, -0.06756756756756754, 0.02010285179990645, 0.03528872593950494, 0.10004426737494465, -0.006036217303822977, -0.013360323886639658, 0.09068526877308147, 0.022949586155003976, -0.03162927546892247, -0.050892518040258294]"
2006-12-29,sh600001,邯郸钢铁,1,4.07,4.43,3.83,4.36,4.374394859128307,2235227664.0,6201292737.28,12165487096.2,2122.0,3.0,2006.0,696463887.07,722038876.6399999,-0.36972684095429786,277817389.1700001,1.49215204571591,-0.07031392033846773,1452193064.1,1648684212.59,-0.07293173766872452,492947558.4599999,-0.5171185833977112,-0.6423446597769482,10797296063.09,0.06862745098039258,0.08728179551122217,0.019644527595884087,0.04306220095693836,0.06276660572821458,0.10473815461346647,0.11027568922305808,0.15665796344647576,0.01671349438103002,0.015475425092038567,0.02381282493232112,55524830.32877095,59657778.92873889,51973079.17627277,80.75652339243857,75.10167132938281,92.06622751855008,0.16785801716583304,0.1167841422583824,0.10214774981490127,0.0593514152725981,0.8875350388939734,钢铁,钢铁,普钢,0.07125307125307079,"[0.05733944954128445, 0.03253796095444672, 0.004201680672269115, 0.09832635983263582, 0.0019047619047618536, -0.03992395437262353, -0.06930693069306926, 0.038297872340425476, 0.05737704918032782, -0.050387596899224785, -0.01224489795918382, 0.016528925619834656, 0.04674796747967491, 0.10097087378640768, 0.09347442680776008, -0.050000000000000044, 0.04753820033955858, 0.01620745542949753, -0.019138755980861122, -0.0747967479674797]"
2006-12-29,sh600004,白云机场,1,7.28,8.18,7.18,7.54,7.561399437783878,2319594512.0,3747078400.0,7540000000.0,850.0,3.0,2006.0,219300985.95,277374740.02,0.29733847186147,90873113.07999998,0.423064137681612,0.6037241178994428,606963883.08,610734856.6300001,0.2806697858340046,246301830.66000003,-0.11600459062445834,0.3399127695721538,4102721146.27,-0.050377833753148527,0.027247956403270157,0.0029263101888814536,-0.009978991596639508,-0.017589576547231034,0.060109289617486406,0.09153005464480901,0.13927576601671343,0.0217722185187314,0.015945298058173605,0.029786367806370298,24560492.150916364,24797653.92798203,89637606.81141052,25.349960125722856,25.522402117077466,25.005076143013632,0.07186408880261386,0.13959703498440637,-0.13546589236358503,0.03678710079840849,0.5441274729801061,交通运输,机场,机场,0.038567493112948714,"[0.027851458885941538, 0.05548387096774188, 0.02444987775061147, 0.0011933174224343368, 0.07270560190703201, 0.014444444444444482, -0.013143483023001168, 0.029966703662597016, -0.016163793103448176, -0.03723986856516992, 0.0011376564277589818, 0.02954545454545454, 0.015452538631346435, -0.020652173913043415, 0.023307436182020025, 0.009761388286334105, -0.011815252416756294, 0.07826086956521738, -0.020161290322580627, -0.007201646090534974]"
2006-12-29,sh600005,武钢股份,1,4.58,6.48,4.41,6.36,6.366454767468888,7272101219.75,18036496788.5,49849680000.0,1742.0,3.0,2006.0,2615520610.37,3191271329.6700006,-0.40873234541348225,1305775513.6399999,0.18365429425298685,0.22868709539455767,4844929656.71,6813707341.909999,-0.20677364590883407,1695140899.8899999,0.08205797385709546,-0.4516445519882406,20535668158.05,0.20683111954459243,0.4260089686098658,0.06283422459892951,0.13551151580075027,0.21687553812302762,0.28063241106719405,0.3090909090909093,0.4693877551020411,0.03983656866902915,0.045115236290853254,0.039023025993376356,112517214.63621986,98872490.62204783,93934986.84345005,85.72211771102006,81.12028251234919,94.92578810836179,1.707286393540926,1.4881693724161003,0.43823404224965135,0.06401788997782935,0.41195185521852895,钢铁,钢铁,普钢,0.3947368421052633,"[0.07232704402515733, -0.008797653958944385, 0.03402366863905337, 0.10014306151645203, 0.005201560468140354, -0.040103492884864256, -0.03234501347708896, 0.06406685236768794, 0.007853403141361293, 0.03896103896103886, -0.015000000000000013, -0.026649746192893398, 0.0, 0.08735332464146017, 0.04676258992805771, -0.03436426116838498, 0.033214709371293116, 0.06659012629161865, 0.0010764262648010892, -0.1000000000000002]"
2006-12-29,sh600006,东风汽车,1,2.98,3.45,2.82,3.22,3.226717508491115,2761445618.0,2569560000.0,6440000000.0,1747.0,3.0,2006.0,308960021.77,344155177.24,-0.21321637109009728,84135836.57,0.32144507393017663,-0.32690528646646055,819613024.8,1160647487.9999998,0.001302633783061502,261194854.4799999,1.1452647225490629,-0.17228524018785274,4684208694.78,-0.024242424242424288,0.08783783783783794,-0.0018598884066983734,-0.008315368032029813,0.023034154090546766,0.053968253968253777,0.07619047619047614,0.22340425531914954,0.019823506317674343,0.01750530963366602,0.03056977255616936,12506222.034849197,37618531.777979165,100599722.39449158,34.0546316371815,46.183349982564586,9.797194946415331,0.07645713392822451,0.04847681630136809,0.05596063525371284,0.05344024491304348,0.7273615985683229,,汽车整车,商用载货车,0.08417508417508412,"[0.04968944099378869, 0.035502958579881616, 0.02571428571428558, 0.013927576601671321, 0.024725274725274637, -0.02680965147453085, 0.04132231404958686, 0.09523809523809512, -0.0024154589371979673, -0.029055690072639306, 0.02244389027431426, 0.08536585365853666, 0.038202247191011285, -0.0216450216450218, 0.0, -0.0508849557522123, 0.037296037296037365, 0.01348314606741563, -0.037694013303769425, -0.07834101382488479]"
2006-12-29,sh600007,中国国贸,1,8.6,10.6,8.0,10.1,10.278302826013597,1564213208.0,2020000000.0,10173553593.4,1838.0,3.0,2006.0,173508427.0,231128427.0,0.010304745793828785,55011631.0,-0.03473125581232128,-0.05372281688233671,330585187.0,427905187.0,0.019734779230930588,113201111.0,0.19304741579191442,0.06855924965071103,2570717377.0,0.10867178924259036,0.1373873873873872,0.05274129664373528,0.08369098712446288,0.1142368580727009,0.23543123543123534,0.23543123543123534,0.3249999999999995,0.03021767933305545,0.03253231515191877,0.03612199574499042,34199951.94380629,31839277.34823441,26762421.919511363,73.11190927827795,68.25716983911086,82.82138815661213,0.5388730537632345,0.4836556172283404,0.11043487306978816,0.022718554031104968,0.25268627656984377,房地产,房地产开发,房地产开发,0.16628175519630495,"[0.016831683168316847, -0.009737098344693274, 0.03048180924287114, 0.013358778625954137, 0.019774011299435124, -0.005540166204986208, -0.05571030640668517, 0.06588003933136677, 0.03874538745387457, -0.07548845470692711, 0.03746397694524495, 0.07129629629629619, 0.06309420916162489, 0.09186991869918693, 0.012658227848101333, -0.0007352941176470562, 0.058130978660779986, 0.07788595271210008, -0.03870967741935483, -0.09999999999999998]"
2006-12-29,sh600008,首创股份,1,5.36,5.83,4.9,5.75,5.646665669987401,2666315284.0,4485000000.0,12650000000.0,1560.0,3.0,2006.0,297280905.73,427418308.44,-0.1271399528364604,125979755.31000003,0.03368253924994624,0.3823853789886231,456169319.3,637885047.57,-0.004709582154502456,152440040.72000003,0.4933854484667364,-0.47034524597036265,4492726326.48,0.1100386100386106,0.06481481481481532,0.03678326721961822,0.059126911033339,0.08001502629602086,0.09792843691148789,0.15217391304347894,0.18979591836734744,0.036538546808576974,0.029176166488029464,0.031225569886044663,113727756.88883054,91659863.05238901,79221265.16235293,77.79397792963944,72.97111883124579,87.43969612642675,0.28141649100269106,0.20893992134126121,0.1449531393228597,0.033788008572332016,0.35515623134229246,公用事业,水务,水务,0.07276119402985093,"[0.01565217391304352, 0.03253424657534243, 0.04477611940298498, 0.0, 0.012698412698412653, -0.026645768025078342, -0.06763285024154586, 0.05699481865284972, 0.0212418300653594, -0.03839999999999999, 0.016638935108153063, 0.04746317512274967, 0.04218749999999982, -0.014992503748125885, 0.03196347031963476, -0.04424778761061943, -0.015432098765432167, 0.043887147335423204, -0.021021021021021102, -0.04447852760736182]"
2006-12-29,sh600009,上海机场,1,16.91,19.65,16.88,18.91,19.153606774901046,5866526127.0,17033760257.2,36438784251.7,2106.0,3.0,2006.0,1160448671.0,1515902136.0,0.130000455741609,414030964.0,0.113567310449872,0.04387618758162559,991167864.0,1390265644.0,0.13816860130147024,362603088.0,-0.26418139779805905,-0.11369112411921944,9983628191.0,0.08057142857142874,0.08358384910109029,0.02061744386873965,0.036561968974402115,0.05144980668791099,0.1026936026936025,0.14111498257839727,0.16584541038634915,0.01817251910314474,0.020957829182314466,0.02307070317507193,76153298.0448676,140268186.6092183,125045014.53849298,72.7927066578406,70.14467721457939,78.08876554436301,0.7401413320933159,0.7231656170489456,0.033951430088740686,0.04160133679348201,0.2739835698699039,交通运输,机场,机场,0.12659339761398902,"[0.05922792173453195, 0.029455816275586688, -0.005819592628516057, 0.023902439024390265, 0.09337779895188181, 0.0370370370370372, 0.020168067226890685, 0.00906095551894559, -0.017142857142857237, -0.01827242524916939, 0.021996615905245376, 0.040149006622516525, 0.04655789892558704, -0.04296577946768054, -0.015097338100913849, 0.008874546187979115, 0.039184326269491976, 0.010388611004232606, 0.03998476770753978, -0.06298059318930793]"
2006-12-29,sh600010,包钢股份,1,2.58,3.26,2.53,3.12,3.116298569031235,5672320976.0,5753033744.64,10575954773.3,1369.0,3.0,2006.0,481387157.59,480165061.70000005,-0.6064624660341982,173780457.14,-0.3851808153832743,-0.21251964676236712,302742477.13,-725850843.14,-1.3152471907444534,475483322.4,7.181750217978113,0.39453260255194444,7645408107.86,0.17735849056603814,0.22352941176470642,0.03311258278145646,0.08786610878661105,0.1328976034858378,0.22556390977443597,0.2301886792452832,0.2885375494071152,0.04398151373723415,0.03654709654887602,0.031405568868955666,262627160.77716386,249521135.75922495,202183032.211597,74.6847798013294,71.75889012348215,80.5365591570239,0.3201019684364228,0.21962952338775593,0.20094489009733374,0.04540158047122349,0.7229047657391234,钢铁,钢铁,普钢,0.20930232558139505,"[0.0608974358974359, 0.015105740181268867, 0.0029761904761904656, 0.0801186943620178, 0.01098901098901095, -0.029891304347826164, -0.07282913165266103, 0.06344410876132933, 0.03125, 0.0, -0.008264462809917328, 0.005555555555555536, 0.09944751381215466, 0.06030150753768848, -0.004739336492890933, -0.06428571428571428, 0.01781170483460559, 0.02750000000000008, -0.02676399026763998, -0.06000000000000005]"
2006-12-29,sh600011,华能国际,1,5.73,6.56,5.68,6.45,6.4066386837733145,3061669321.0,4192500000.0,77757223188.0,1176.0,3.0,2006.0,3454694730.0,5166923203.0,0.12826640843342907,1468444280.0,0.026806269202211297,0.6450602166922379,10771711744.0,13954091189.0,0.4246727027211086,4195502331.0,-0.06184408481581993,0.3577452280593958,39594410932.0,0.023809523809523725,0.09322033898305015,0.0403225806451617,0.03299167200512554,0.04648332927719445,0.09780775716694778,0.10623946037099508,0.14086956521739102,0.024242461051374283,0.019780382673747723,0.02143890910829676,100296485.83157851,76258456.14757873,76347440.13814282,54.31085341415305,48.5397017969419,65.85315664857535,0.3553332374020375,0.3883796974243888,-0.06609292004470269,0.06644943056296529,0.5092055671312922,公用事业,电力,火电,0.13556338028169002,"[0.032558139534883734, 0.10060060060060061, 0.027285129604365688, 0.03984063745019917, 0.0012771392081736277, -0.042091836734693855, -0.0279627163781625, 0.02876712328767117, -0.009320905459387352, 0.0026881720430107503, -0.017426273458445052, 0.03137789904502042, 0.0185185185185186, -0.0025974025974027093, 0.04947916666666674, -0.062034739454094434, -0.007936507936507908, 0.026666666666666616, -0.011688311688311637, -0.04467805519053891]"
